Time,ClosingP,OpenP,High,Low,Volume,Rate
"Mar 1, 2017",1222.5,1180.04,1222.5,1179.69,229056992.0,1122.5
"Mar 2, 2017",1251.01,1224.68,1262.13,1215.62,368275008.0,1151.01
"Mar 3, 2017",1274.99,1250.71,1280.31,1250.71,315739008.0,1174.99
"Mar 4, 2017",1255.15,1277.43,1279.4,1230.51,183270000.0,1155.15
"Mar 5, 2017",1267.12,1254.29,1267.29,1238.06,134127000.0,1167.12
"Mar 6, 2017",1272.83,1267.47,1276.0,1264.6,153656992.0,1172.83
"Mar 7, 2017",1223.54,1273.21,1275.55,1204.8,291256000.0,1123.54
"Mar 8, 2017",1150.0,1223.23,1232.16,1148.08,332603008.0,1050.0
"Mar 9, 2017",1188.49,1150.35,1197.46,1141.23,212283008.0,1088.49
"Mar 10, 2017",1116.72,1189.36,1270.47,1077.25,563795968.0,1016.72
"Mar 11, 2017",1175.83,1116.32,1193.83,1116.32,283320000.0,1075.83
"Mar 12, 2017",1221.38,1176.62,1226.98,1175.36,227176000.0,1121.38
"Mar 13, 2017",1231.92,1221.78,1237.37,1217.03,380276992.0,1131.92
"Mar 14, 2017",1240.0,1232.16,1244.81,1220.72,245306000.0,1140.0
"Mar 15, 2017",1249.61,1240.16,1251.61,1239.75,297804992.0,1149.61
"Mar 16, 2017",1187.81,1251.33,1257.98,1152.44,638568000.0,1087.81
"Mar 17, 2017",1100.23,1180.16,1180.16,1099.57,706598976.0,1000.23
"Mar 18, 2017",973.82,1099.69,1114.07,957.66,621302016.0,873.82
"Mar 19, 2017",1036.74,976.73,1069.91,976.73,406648000.0,936.74
"Mar 20, 2017",1054.23,1037.24,1063.03,1036.68,286529984.0,954.23
"Mar 21, 2017",1120.54,1055.36,1122.43,1055.36,337391008.0,1020.54
"Mar 22, 2017",1049.14,1120.65,1120.65,1014.21,380840992.0,949.1400000000001
"Mar 23, 2017",1038.59,1050.05,1058.01,1028.93,248540000.0,938.5899999999999
"Mar 24, 2017",937.52,1038.45,1040.47,934.36,491038016.0,837.52
"Mar 25, 2017",972.78,936.54,975.76,903.71,435803008.0,872.78
"Mar 26, 2017",966.72,974.02,1007.96,954.19,303668000.0,866.72
"Mar 27, 2017",1045.77,972.05,1046.4,971.98,372535008.0,945.77
"Mar 28, 2017",1047.15,1044.58,1064.65,1027.73,326332000.0,947.1500000000001
"Mar 29, 2017",1039.97,1046.08,1055.13,1015.88,298457984.0,939.97
"Mar 30, 2017",1026.43,1042.21,1049.29,1020.04,352968992.0,926.4300000000001
"Mar 31, 2017",1071.79,1026.64,1074.92,1026.64,447287008.0,971.79
"Apr 1, 2017",1080.5,1071.71,1091.72,1061.09,289633984.0,980.5
"Apr 2, 2017",1102.17,1080.61,1107.59,1075.45,514187008.0,1002.1700000000001
"Apr 3, 2017",1143.81,1102.95,1151.74,1102.95,580444032.0,1043.81
"Apr 4, 2017",1133.25,1145.52,1156.44,1120.52,436310016.0,1033.25
"Apr 5, 2017",1124.78,1134.14,1135.09,1113.63,414784000.0,1024.78
"Apr 6, 2017",1182.68,1125.81,1188.37,1125.81,511222016.0,1082.68
"Apr 7, 2017",1176.9,1178.94,1186.58,1163.39,317022016.0,1076.9
"Apr 8, 2017",1175.95,1172.65,1184.98,1162.58,209312000.0,1075.95
"Apr 9, 2017",1187.87,1176.57,1197.21,1171.86,242343008.0,1087.87
"Apr 10, 2017",1187.13,1187.3,1190.34,1179.04,215883008.0,1087.13
"Apr 11, 2017",1205.01,1187.46,1208.07,1187.46,216182000.0,1105.01
"Apr 12, 2017",1200.37,1204.81,1207.14,1196.76,288702016.0,1100.37
"Apr 13, 2017",1169.28,1201.02,1205.89,1156.44,351968992.0,1069.28
"Apr 14, 2017",1167.54,1170.33,1190.8,1159.79,254827008.0,1067.54
"Apr 15, 2017",1172.52,1167.3,1188.0,1164.96,203559008.0,1072.52
"Apr 16, 2017",1182.94,1172.61,1187.22,1172.61,183231008.0,1082.94
"Apr 17, 2017",1193.91,1183.25,1194.9,1172.65,253206000.0,1093.91
"Apr 18, 2017",1211.67,1193.77,1217.57,1193.77,270524000.0,1111.67
"Apr 19, 2017",1210.29,1212.13,1215.51,1205.08,288060992.0,1110.29
"Apr 20, 2017",1229.08,1211.08,1240.79,1208.41,315108000.0,1129.08
"Apr 21, 2017",1222.05,1229.42,1235.94,1215.56,272167008.0,1122.05
"Apr 22, 2017",1231.71,1222.71,1235.56,1208.47,249320000.0,1131.71
"Apr 23, 2017",1207.21,1231.92,1232.2,1203.94,258951008.0,1107.21
"Apr 24, 2017",1250.15,1209.63,1250.94,1209.63,235806000.0,1150.15
"Apr 25, 2017",1265.49,1250.45,1267.58,1249.97,242556000.0,1165.49
"Apr 26, 2017",1281.08,1265.99,1294.83,1265.93,329631008.0,1181.08
"Apr 27, 2017",1317.73,1281.88,1319.7,1281.3,449196992.0,1217.73
"Apr 28, 2017",1316.48,1317.74,1331.28,1292.37,527488992.0,1216.48
"Apr 29, 2017",1321.79,1317.84,1327.2,1315.21,422705984.0,1221.79
"Apr 30, 2017",1347.89,1321.87,1347.91,1314.92,413115008.0,1247.89
"May 1, 2017",1421.6,1348.3,1434.32,1348.3,713624000.0,1321.6
"May 2, 2017",1452.82,1421.03,1473.9,1415.69,477337984.0,1352.82
"May 3, 2017",1490.09,1453.78,1492.77,1447.49,583795968.0,1390.09
"May 4, 2017",1537.67,1490.72,1608.91,1490.72,933548992.0,1437.67
"May 5, 2017",1555.45,1540.87,1618.03,1530.31,946035968.0,1455.45
"May 6, 2017",1578.8,1556.81,1578.8,1542.5,582529984.0,1478.8
"May 7, 2017",1596.71,1579.47,1596.72,1559.76,1080029952.0,1496.71
"May 8, 2017",1723.35,1596.92,1723.35,1596.92,1340320000.0,1623.35
"May 9, 2017",1755.36,1723.89,1833.49,1716.3,1167920000.0,1655.36
"May 10, 2017",1787.13,1756.52,1788.44,1719.1,915723008.0,1687.13
"May 11, 2017",1848.57,1780.37,1873.93,1755.35,799489984.0,1748.57
"May 12, 2017",1724.24,1845.76,1856.15,1694.01,740984000.0,1624.24
"May 13, 2017",1804.91,1723.12,1812.99,1651.08,579635008.0,1704.91
"May 14, 2017",1808.91,1800.86,1831.42,1776.62,437196000.0,1708.91
"May 15, 2017",1738.43,1808.44,1812.8,1708.54,731529024.0,1638.43
"May 16, 2017",1734.45,1741.7,1785.94,1686.54,959044992.0,1634.45
"May 17, 2017",1839.09,1726.73,1864.05,1661.91,1064729984.0,1739.09
"May 18, 2017",1888.65,1818.7,1904.48,1807.12,894321024.0,1788.65
"May 19, 2017",1987.71,1897.37,2004.52,1890.25,1157289984.0,1887.71
"May 20, 2017",2084.73,1984.24,2084.73,1974.92,961336000.0,1984.73
"May 21, 2017",2041.2,2067.03,2119.08,2037.5,1147859968.0,1941.2
"May 22, 2017",2173.4,2043.19,2303.9,2017.87,1942220032.0,2073.4
"May 23, 2017",2320.42,2191.56,2320.82,2178.5,1378749952.0,2220.42
"May 24, 2017",2443.64,2321.37,2523.72,2321.37,1725379968.0,2343.64
"May 25, 2017",2304.98,2446.24,2763.71,2285.3,2406700032.0,2204.98
"May 26, 2017",2202.42,2320.89,2573.79,2071.99,1763480064.0,2102.42
"May 27, 2017",2038.87,2196.27,2260.2,1855.83,1700480000.0,1938.87
"May 28, 2017",2155.8,2054.08,2267.34,2054.08,1147139968.0,2055.8
"May 29, 2017",2255.61,2159.43,2307.05,2107.17,994625024.0,2155.61
"May 30, 2017",2175.47,2255.36,2301.96,2124.57,1443970048.0,2075.47
"May 31, 2017",2286.41,2187.19,2311.08,2145.57,1544829952.0,2186.41
"Jun 1, 2017",2407.88,2288.33,2448.39,2288.33,1653180032.0,2307.88
"Jun 2, 2017",2488.55,2404.03,2488.55,2373.32,1317030016.0,2388.55
"Jun 3, 2017",2515.35,2493.72,2581.91,2423.57,1514950016.0,2415.35
"Jun 4, 2017",2511.81,2547.79,2585.89,2452.54,1355120000.0,2411.81
